,key_words_rak,key_words_tf_idf
16,",conventional collaborative learning environments tend,sequence reached statistical signiﬁcance,writing reflective journal entries,study explored interactive behavioral patterns,extending reading related literature,students received prior training,helpful behavioral path b6→b2,behavioral path b3→b3 shows,online collaborative reading procedure,conduct collaborative reading activities,assessment scheme including artificial assessment,current collaborative reading task,connecting line thickness represents,conduct lag sequential analysis,demonstrate stronger cognitive development",",micro,phase,behavioral,reading,courses,collaborative,course,cell,path,network,sequences,behaviors,score,learning activity,peers"
17,,",graphs,cells,treatment,graph,critique,cell,unit,science,construct,sd,abilities,explanations,posttest,effects,explain"
18,,",critique,normative,revision,guidance,explanation,ideas,solar,artifact,step,earth,choice,energy,sun,revised,conditions"
19,,",homework,analytics,implementation,teachers,trial,efficacy,innovation,schools,treatment,system,reports,assignments,model,expected,quality"
20,",students learned key concepts related,primarily explored comparing students,exploratory study investigating students,shown enhanced conceptual learning,plan future design decisions,receiving multiple instructional prompts,virtual compost experiments related,students experience real phenomena,group specifically discussed improving,concrete representations offer information,easily isolate variables,present extra challenges,key turning point,average written explanation score,students successfully integrated information",",virtual,simulation,physical,models,change,group,ratio,evidence,experiments,carbon,information,student,integrate,teacher,biology"
21,",18mm thick wooden table tops,standard desk height rectangular tables,designed standing height round workstations,monitor support shared task completion,ended collaborative problem solving,enhanced learning takes place,human factor affordances provided,modal data sources ranging,standard height rectangular tables,circular form promote increased collaboration,computer supported collaborative learning,empathetic design process develops,specially designed standing tables,key human factors relating,standing students stood shoulder",",tables,trial,table,movement,user,pbl,average,design,movements,student,groups,physical,interactions,low,cscl"
22,",earlier aspirations determine career choice,early age critically influences life,service teachers perceive stereotypical threats,study employed qualitative research design,female preservice early childhood teachers,pursue stem career pathways,service early childhood teachers,preparing early childhood pre,eleven early childhood pre,high math performer group,content utilized robotics affordances,average math achieving students,service teachers design robotics,interview data analysis results,early childhood pre",",robotics,math,mathematics,pre service,early,robot,pre service teachers,service teachers,service,stem,female,teachers,grade,lessons,gender"
23,",effective lesson leveraging dialogic pedagogy,adapting slightly modified rosaen,novices experienced monologic teaching,“studentdouble barreled” increased significantly,formal academic utterances versus informal,students address learning tasks,monologic knowledge transmission,implement dialogic pedagogy,private university japan,dialogic teaching skills,ensure proper learning,tangible puppetry cscl system,clear voice recording,smooth lesson flow,provide mutual feedback",",role,teacher,student,self,play,double,session,informal,mutual,utterances,utterance,performed,formal,table,instruction"
24,",students iteratively developing refined physical,manually operated crank lift,distributed computing infrastructure resulted,technological infrastructure called vimap,computationally augmented physical structures,draw specific geometric shapes,stem pedagogy supported learning,students designed simple machines,learners develop engineering concepts,centered design supported students,distributed computational infrastructure,pedagogical approach supports,dynamically visualize netlogo,accomplish specific tasks,drawing geometric shapes",",agent,physical,computational,programming,user,phase,control,program,structures,users,machine,infrastructure,design,tangible,speed"
25,",collaborative strategic board games,multiple participants contribute information,players assess narrative elements,star wars setting,involves thinking globally,meaningful mechanical/narrative spectrum,noteworthy event occurred,fantasy flight games,social computational literacy,systems create environments,solid hours work,substantially higher number,player rolled dice,understanding computational talk,comedian kat kuhl",",narrative,computational,game,events,discourse,situations,rules,games,simulation,coded,player,session,distributed,occurred,board"
26,",calculated term frequency tf,examine student collective knowledge advancement,detect productive interaction patterns,visualized student collective knowledge,capture collective knowledge advancement,existing social network models,examine student knowledge advancement,ordinary social network analysis,complementary assessment technique,human immune system,human immunity system,collective knowledge advancement,analyze student roles,acquire higher learning,tested significant differences",",advancement,collective knowledge,jigsaw,vocabulary,discourse,collective,outcome,knowledge,group,network,emergence,matter,student,subject,groups"
27,",30 hour/week digital fabrication workshop,population remains temporarily unchanged,complex allocation system developed,70% minority high school located,bacterial growth experiment conducted previously,researchers conducted informal interviews,purely conceptual conﬂict,virtual bacteria begin reproducing,netlogo models typically consist,episodes explicitly showing moments,recent years virtual experimentation,initial flat “lag phase”,foster conceptual change students,ll eventually find food,initial model bacteria grew",",virtual,growth,model,physical,food,experiment,phase,models,student,modeling,experimentation,real,experiments,episode,design"
28,,",children,phenomena,plants,scientists,science,module,plant,instrument,elementary,parallel,green,field,representations,teacher,classroom"
29,,",conversational,agents,learner,agent,tutoring,systems,mobile,devices,multimodal,information,feedback,questions,enabled,physical,effectiveness"
30,",high school students find operations,unlike traditional number line models,number line model physically “turn,number line model emphasized,symbol meanings students act,van de walle,parallel lessons differing,large number line,number line models,narrow research focus,preliminary analysis suggests,complex meanings students,number line model,multiple integer models,humans move influences",",negative,model,number,posttest,line,students used,numbers,cognition,direction,fifth,models,learned,turn,physical,item"
31,",professor kris gutiérrez,angeles 5th dimension antecedent,extremely low entry barriers,economically diverse student body,scribbling machines activity involves creating,immediately start building circuits…,el pueblo mágico,traditional teacher/student power dynamic,pepperoni pizza play dough,employing similar guiding tenets,predominantly low income children,pueblo mágico,embedded allowed rossdy room,oriented social design experiment,designed squishy circuits activities",",feedback,practice,social,activity,children,practices,organization,youth,like,relationship,relationships,says,instances,immediate,consistent"
32,",learning design effectively support mentors,massive open online courses,improved technical infrastructure led,live peer chat sessions,instructors prepared video lectures,improved technical infrastructure,added technical capacity,expanded project requirements,child mortality reduction,government budget distribution,specific geographic regions,design debrief sessions,shares common ideas,adapts apprenticeship methods,underlying competencies needed",",mentors,problems,mentor,instructors,mooc,program,respect,learners,problem,creation,iteration,week,sessions,moocs,video"
33,,",computational thinking,computational,robotics,teachers,goals,curriculum,instructional,thinking,goal,technology,planning,setting,education,lesson,programs"
34,",explicitly embodied learning activity,embodied modeling activity aiming,embodied activity supports students,model physical phenomena leads,explicitly embodied activities,embodied learning activities,hammer & van zee,pedagogical embodied activity,university level students,examples include “entropy,embodied modeling activity,activity supports students,word “mechanism”—suggesting,significant scientific achievement,billiard ball strikes",",energy,entities,embodied,mechanistic,objects,embodiment,phenomena,theoretical,ball,activity,models,scientific,supports,modeling,model"
35,,",constructive,sentences,lesson,active,tasks,interactive,definitions,sentence,lessons,instructional,design,engagement,evaluation,combining,complex"
36,,",generative,mode,partner,dialogue,speaker,dialogues,constructive,collaborative,pairs,co,collaborative learning,scores,pattern,active,materials"
37,",underlies contemporary science education standards,motionactivated cameras called “camera traps,irr scores reaching perfect agreement,mobile devices called common knowledge,engaged high school biology students,map shows proposed location,students exchanged digital inquiry notes,software scaffolds prompted students,approach situates knowledge construction,zydeco platform enables students,grade 11 biology classes,camera trap placement plan,photographs provide convincing evidence,written rationale students gave,neighborhood safari planning notes",",visual,textual,evidence,plan,camera,claim,support,text,written,planning,claims,knowledge,agreement,base,notes"
38,",students produce erroneous solutions prior,audio recordings include process information,contrasting incorrect student ideas,process condition descriptively outperformed,erroneous student ideas,incorrect student ideas,essential preparatory mechanism,students observe solutions created,based condition outperformed,competence positively correlated,condition produced solutions,examplebased pf condition,usual control condition,pf student generated,observing process information",",pf,gaps,solution,condition,instruction,solutions,conditions,awareness,knowledge,process,problem solving,solving,problem,aware,sd"
39,",united states mountain west state,english language arts skills taught,9th grade language arts teachers,english language arts classroom,day initial design institute,classroom enactments including field,classrooms voiced stronger feelings,eleven 9th grade teachers,english language arts,“externally authentic cultural tools”,students consistently expressed feeling,based pbl takes place,years takes place,received individual support,informing subsequent instruction",",authenticity,pbl,teachers,authentic,projects,project,project based,arts,choice,english,teachers students,products,tools,th grade,year"
40,",structured stimulated recall interview,digital application starts portfolio,main research question focuses,hour starting session,empty white paper,driven content analysis,content analysis program,video clips guidance,optional video recording,defines university level,assessment strongly emphasized,holding interviews provided,key functions identified,earlier research results,early school years",",circle,benefits,method,functions,learning process,grade,content analysis,year,process,years,means,results,easier,experiences,assessment"
41,,",virtual,models,physical,solar,model,linn,energy,student,accurate,posttest,box,fun,relative,benefits,limitations"
42,,",health,material,task,cf,tool,shared,course,carbon,space,tools,climate,resources,climate change,university,time"
43,,",responsive,teacher,teachers,pd,teaching,noticing,mathematics,thinking,students ideas,disciplinary,student,science,professional development,ideas,student thinking"
44,",wooden blockbased tangible robotic kit,comparative case study research design,including varied material affordances,depth focus group interviews,learn core programming concepts,based maker workshop tailored,sighted group mater tended,completely blind group mate,completely blind group member,visual acuity affected participation,northeastern united states,microanalytic video analysis,response preand post,african american male,constructing model cars",",group,visual,day,block,blocks,learners,accessible,member,workshop,vision,robotics,maker,tried,group members,robot"
45,,",game,game design,players,games,design,meanings,literacy,learners,system,rules,board,problem,designing,problem solving,incorporating"
46,",science agency literature emphasizes creating,sps literature defines social problems,create fully functioning mobile apps,solve mini app challenges,exploring core programming concepts,creating critical science agency,high school students show,creating context relevant apps,eleven students rated realcreaturefinder,address relevant social problems,address context relevant issues,students selected ai components,addressing social problems due,students created mobile apps,gradually decrease scaffolding",",app,apps,programming,issues,social,agency,mobile,action,science,technology,problems,relevant,school,issue,capable"
47,",school student stakeholder map shows,stem experts included phd students,middle school stem studio considered,identified community partners corresponds,stem experts included graduate,primary school situations showed,identified stakeholders included individuals,city libraries program provided,school student stakeholder map,link core disciplinary knowledge,develop pedagogical content knowledge,primary school stem studio,design challenge based activities,design phase maps shows,stakeholders including experienced educators",",stem,studio,stakeholders,school,enactment,teachers,experts,school students,teacher,teacher education,education,design,maps,staff,middle school"
48,,",organizational,district,network,schools,districts,relationships,school,social,leaders,improvement,time,performing,social network,networks,low"
49,",newcomer integration strategies generally occurs,intentionally apply newcomer integration strategies,existing automated dialog analysis methods,community knowledge enables knowledge sharing,term interaction added oldtimer contributions,examined faculty student councils,ideal learning trajectory begins,possibly connect informal learning,massively multiplayer online role,ironical comments questioning newcomer,social learning analytics applications,identify newcomer integration strategies,identifying newcomer integration strategies,legitimation strategies include advertising,frequent integration strategies occurred",",newcomers,integration,strategies,participation,community,interaction,categories,offering,knowledge,wenger,communities,members,practice,term,lave wenger"
50,",social setting affects individual metacognition,system collects rich log data,shared regulation show greater awareness,social setting mediates metacognition,adopt socially shared regulation strategies,socially shared regulation affects performance,explicitly designed interface features,strictly organizing problem solving,define socially shared metacognition,differential sequence mining technique,typically provide posthoc accounts,shared regulatory activities correlate,bothstudents grouping identify important information,detects recurrent action patterns,problem solving task requirements",",regulation,action,actions,metacognitive,map,patterns,shared,read,pattern,causal,socially,frequency,strategies,processes,link"
51,",quantitative analysis included descriptive reporting,parents report nonwhite racial identity,short term online educational programs,user account retains avatar personalization,group parent education delivery models,individual class pages include areas,coders independently coded transcript,initial system design occurred,customized social networking package,community holds great promise,/low cost adult learning,weaker tie connections provide,distracted parent users requires,highly rated learning methods,innovation means identifying factors",",parents,parent,staff,program,community,platform,access,site,technology,social,family,class,information,participation,virtual"
52,",middle school age summer camp,newly developed educational robotics kit,include andrew eventually started ignoring,researchers deliberately avoided influencing solutions,teachers actively supporting engaged responses,muncha muncha muncha activity,collaborative discourse predicts solution novelty,computer supported collaborative learning,story muncha muncha muncha,analyze creative problem solving,significant group discord arose,openended engineering design projects,camp challenged participating youth,andrew proposes giant lasers,muncha muncha muncha",",creativity,score,group,solutions,idea,discourse,solution,engineering,ideas,artifacts,functional,attributes,single,body,responses"
53,",transactivity demonstrates good social dynamics,explicitly reifying desired collaborative processes,high external validity mooc deployment,providing scaffolded accountable talk prompts,significantly improve collaborative product quality,accountable talk classroom facilitation,bazaar prompts improved discussion processes,improving collaborative product generalizes,structured graphical user interface,scaffolded accountable talk prompts,ended task involving proposing,knowledge integration processes provide opportunities,counted incorrect knowledge points,scale online learning environments,students read materials focusing",",manipulation,product,composition,collaborative,support,jigsaw,plan,prompts,group,implicit,perspective,reasoning,energy,effect,condition"
54,",courses generally feature streaming videos,analysis revealed dramatically higher levels,coursera discussion forums declined significantly,computer supported collaborative learning communities,average pairwise observed exchange,mooc proponents generally responded,measure aggregated achievement discreetly,personalized “wikifolio” open assignments,assess student generated artifacts,automatic collaborative process analysis,learning science science research groups,existing models higher education,automated process analysis tool,include complex instructional designs,promising related strand emerged",",moocs,mooc,reflection,courses,course,graph,forums,team,learners,online,discussion,orchestration,open,peer,notes"
55,",math problems showed stronger performance,precede coherent verbal articulation,authors encourage raising students,fast moving molecules speeding,explaining observable science phenomena,spontaneous gestures frequently capture,lasted approximately 25 minutes,midwestern united states,phenomena frequently alters,gas pressure interviews students,slower moving molecules,authentic learning environments,science education simulations,view computer simulations,37 middle school students",",gestures,gesture,molecules,mechanistic,explanations,explanation,earth,mechanism,interviews,interviewer,pressure,instances,prompting,causal,sun"
56,",researchers designing museum exhibits,solutions involving database standards,explore potential software solutions,big data analytics approaches,unused data typically collected,physical file folder systems,visually capture key features,familiar social media systems,important data management issues,ideal data management system,sophisticated data management tools,based visual representation sample,inform continuing design phases,based data management tools,directly addresses issues",",dbr,visual,management,representation,project,level,design,organization,system,researchers,within,iterations,approach,include,projects"
57,",student audience members prompted groups,common core state standards,student interviews revealed intentionality,embed additional multimodal features,students actively construct knowledge,identified deeper learning approaches,purposefully choosing multimodal features,oral presentations revealed variability,ornithology lab lesson launcher,incorporating specific multimodal features,study included student pairs,state achievement measures,theorizing important roles,2017 nmc horizon report,english language arts",",multimodal,digital,pbl,presentations,images,features,artifacts,modes,groups,included,videos,tools,video,image,writing"
58,",scientific research essentially takes place,fact highly elaborated presentations repeatedly,proper visual metaphor conveying,trialogical objects easily boils,extensive field notes supplemented,paper challenges current approaches,historically evolving experimental systems,shared objects knowledge creation processes,hand externalize cognitive concepts,tangible artifacts enabled participants,practical experimentation appeared,retrieve timely results,spent considerable resources,foster rational discourse,respective design decision made",",artifacts,design,knowledge,objects,epistemic,creation,material,ideas,cscl,partial,artifact,tangible,object,patterns,representational"
59,,",knowledge construction,cscl,construction,productive,scaffolding,strategies,effects,collaborative,interaction,tool,phase,knowledge,kirschner,learner,negotiation"
60,,",climate,science,project,high school students,literacy,approach,learning sciences,ecological,hybrid,instrument,school students,sciences,edu,high school,university"
61,",impact seemingly straightforward task types,“complicates” seemingly easy procedural,solutions requires mutual alignment,prior learning experiences affect,geography field trip showed,simple direct application task,situated learning experiences leveraging,contingency action versus conditioning,group 2 showed initial confusion,mobile learning trail titled,mobile learning revolves chiefly,mobile learning experiences enable,conventional field trips tasks,outdoor mobile learning setting,implementing mobile learning activities",",mobile,resources,dimension,meaning making,physical,learners,exhibits,meaning,task,meanings,context,contextual,material,interaction,map"
62,,",learning opportunities,inquiry,trajectories,opportunities,projects,lives,focal,social,within,people,practices,across,contexts,researchers,project"
63,",fully coherent naïve theories,makes educational reforms highly susceptible,meant making objectively dubious claims,urban public school adopting rjp,popular press news stories,minute class session led,curriculum innovation team meetings,ideologically expansive stances constrained,urban planning curriculum unit,characterizes relevant knowledge structures,teachers hold ‘punitive mindsets,simulated urban planning data,undergraduate engineering classroom discussion,papers raise important methodological,pedagogical mental resources vary",",knowledge,disessa,mental,pieces,pedagogical,intuitive,frames,resources,justice,reasoning,elements,educators,domains,teachers,making"
64,",challenge deeply rooted historicized oppression,current market driven education system,revealed key boundary crossing instruments,teen women challenged current conceptions,challenging current neoliberal ideals,diverse urban public school district,teen filmmakers constructed global narratives,revealed boundary crossing objects,cases offer rich insights,ofschool contexts serving low,generative dialogues—structured dialogues,paper presents ethnographic analyses,participant teachers actively worked,community organization offering access,case 1 examines elementary children",",science,teachers,agency,stem,boundary,identities,computing,youth,new,youths,public,meaning making,racial,ways,contexts"
65,",school classrooms increased external validity,univariate analyses showed significant effects,conditions showed equal learning gains,exploratory learning activities provide space,art itss providing structured tasks,exploratory tasks primarily target conceptual,tds support included instructive feedback,italk2learn platform incorporating structured practice,proven intelligent tutoring systems,clear learning gains observed,interdisciplinary research project funded,existing tutoring environments provide,show significant learning gains,structured practice activities introduce problem,newlydeveloped exploratory learning environment",",fractions,procedural,platform,exploratory,structured,conceptual,tasks,knowledge,condition,conceptual knowledge,scores,task,test,johnson,full"
66,",high epistemic reflection group decided,high epistemic reflection group navigated,solving 21st century bio,designed explicit epistemic reflection prompts,average epistemic reflection scores,8th grade students participated,5th grade students designed,regularly scheduled science classes,level epistemic reflection attended,level epistemic reflections pursued,explicit epistemic reflection prompts,developed epistemic reflection prompts,found energy transformation taking sunlight,controlling prior idea scores,high epistemic reflection group",",epistemic,reflection,tool,inquiry,energy,plants,ideas,condition,cognition,carbon,transformation,role,students learning,page,digital"
67,,",scientists,science,epistemic,public,details,popular,interviews,scientific,work together,participant,often,methodological,scientist,claims,understandings"
68,",public school fourth grade classroom,successive flags visually represented acceleration,measure helped students interpret data,data collection include video records,biomedical engineering lab illustrates,high framerate videos afford,lego mindstorms nxt robots,students develop fairly stable,fourth grade children engaged,command set <pen width> equal,provided clear acrylic tracks,computational modeling practices develop,measuring acceleration changed dramatically,create visually communicative models,teacher emphasized distance traveled",",modeling,computational,speed,motion,models,agent,representational,measurement,model,step,measure,programming,graphs,video,mathematical"
69,",prior knowledge directly positively affected,prior knowledge reduces cognitive load,students experience high cognitive load,van merriënboer & sluijsmans,moodle learning management system,face lower cognitive load,procedural information significantly contributed,average student replied “neutral”,average step size chosen,grasp learning opportunities based,subsequently reduce cognitive load,higher prior knowledge groups,selected recurrent constituent skills,van merriënboer,van merriënboer &",",learning tasks,learning gain,task,prior knowledge,components,self efficacy,tasks,value,efficacy,students learning,gain,prior,influence,self,characteristics"
70,",study computer supported collaborative work,vital 21st century skill,computer supported collaborative learning,team performance visualization tools based,team performances affect team outcomes,extant team performance visualization tools,ena creates adjacency matrices,dimension separates visualization tools,team cognitive components depend,systematic data selection methods,team performance visualization tools,team performance visualization tools—,visualizing complex cognitive information,cognitive group awareness tools,team performance visualization tool",",tools,team,visualization,ena,teams,network,performance,visualizations,affordances,user,tool,awareness,users,mean,cognitive"
71,",hold naïve epistemological views,students conduct collaborative scientific investigations,ponte & van de ven,apply broad principles providing teachers,productively coordinating supportive interventions,mastering scientific inquiry means mastering,current designs include feedback,learners develop similar interests,educational ibl designs involve,conducting scientific investigations,tasks trigger meaningful activity,actual professional scientific communities,buckingham shum & ferguson,introducing inquiry based learning,necessarily mutually accepted",",epistemology,practice,inquiry,cultural,knowledge,authenticity,tools,design,process,learners,designs,social,scientific,practices,meaning"
72,",measure key subject matter concepts,mit scheller teacher education program,proposed computational thinking frameworks composed,situation perpetuates existing inequalities,assessment includes embedded computational models,innovative programming exercises inspired,fictitious local bird populations,intellectually ambitious performance assessments,computational thinking practices framework developed,qualitatively document online activity,design effective synchronization strategies,“explorers” versus “goal accomplishers”,toolkit deliberately requires students,moves engaged family members,programming constructs including conditionals",",computational,computational thinking,ct,thinking,assessments,assessment,practices,computing,learners,programming,assessing,symposium,design,girls,problems"
73,,",tree,mobile,children,app,modes,collective,technological,engagement,learners,resources,line,gaze,technologies,features,families"
74,",cued gestures encouraged embodied interaction,multiple middle schools located,small urban community participated,lasted approximately thirty minutes,wilcoxon signed ranks test,transform natural body movement,project afforded embodied interaction,afford specific explanatory power,augmented simulation elicit gesturing,track hand movement,cognitive processes including,critical science processes,imagistic mental models,key explanatory elements,compensated ten dollars",",simulation,gestures,explanations,rq,gesture,explanatory,simulations,embodied,augmented,students used,explanation,asked,post,light,representational"
75,",project studying preservice teachers,aspects collectively shape learners,modality influences emerging understandings,apply computational thinking practices,evaluating introductory programming environments,accessible computational learning experiences,historically underrepresented backgrounds,addresses practical concerns,successive school years,engaging diverse audiences,engaging diverse populations,differential learning outcomes,public high school,diverse subject areas,based form outperformed",",computational,programming,block,computational thinking,computing,environments,introductory,wilensky,text,learners,thinking,fig,design,classrooms,mathematics"
76,,",meta,regulation,emotional,talk,groups,types,rq,rated,emotions,strategies,ratings,group,feelings,climate,positive"
77,",review process involves data collection,social science citation index,rapidly growing research area,computer assisted language learning,studying educational technology due,providing ‘high level,preset coding system,small sample size,future research directions,language learning & technology,data analysis include,computer assisted learning,studying educational technology,educational technology & society,data collection methods",",technology,educational,papers,journal,systematic,studies,review,limitations,field,education,articles,development,approach,data collection,applications"
78,,",participation,activity,chat,agency,historical,discussions,questions,online,transformative,community,cultural,theory,boundaries,themes,participants"
79,",cooperation involves taking programmatic action,asked current ninth grade students,units foregrounding student agency yield,engage investigate complex ecological change,complex ecological systems connected,positively influence student affect,based implementation leads quickly,case study offers insights,rigorous academic learning goals,sustainable change demands engagement,setting pedagogical learning goals,refine existing instructional materials,transforming student learning experiences,work supports human capacity,study expand recent work",",co design,design,co,partnerships,implementation,teachers,agency,practice,student,educational,partnership,badge,researchers,ngss,expansive"
80,",employed iterative interaction analysis methods,images include numerous student pairs,gröhn & engeström,fuse challenges afford multiple solutions,video showing diverse learning arrangements,larger dots representing higher,sixth grade classrooms offering fuse,regulate acceptable activity structures,existing learning sciences literature,traditional math class activity system,participatory learning structures embedded,general pedagogical design philosophy,describing key design elements,removing traditional classroom structures,future stem learning endeavors",",fuse,challenge,expertise,relative,activity,agency,challenges,stevens,stem,sequences,interests,student,classrooms,choice,choose"
81,,",student work,student,student thinking,teachers,instruction,mathematical,thinking,noticing,focus,task,focusing,poster,professional development,group,interpret"
82,",directly manipulate proportional relations,hand / arm movements,factorial repeated measures anovas,facilitating strategy prompts / “strat”,verb prompts impact learning positively,problematizing verbalization prompts / “verb”,strategies / procedural knowledge,questionnaire collected sociodemographic data,large statistically significant improvement,including embodied learning experiences,scaffold collaborative learning processes,statistically significant main effect,higher epistemic quality caused,form correct proportional representations,error bars represent 95% cis",",prompts,emotions,task,embodied,hypothesis,tasks,quality,transfer,learners,epistemic,negative,regarding,main effect,positive,effect"
83,,",cycle,student,physics,iterative,simulations,visualization,student learning,comprehension,generated,motion,conceptual understanding,conceptual,scaffolding,conceptualization,observations"
84,",suburban middle school worked individually,students readily develop class lists,universität münchen,specific information supports initial learning,middle school students engaged,based audience response technology,formal argumentative strategy knowledge,specific materials inhibits transfer,similar framework splitting knowledge,called “general cognitive abilities”,identify good evidence due,instructional topic—instructional materials,experiment included specific variables,general experimental design skills,initial learning materials",",domain,scientific reasoning,domain specific,reasoning,scientific,knowledge,criteria,specific,general,argumentation,cross,skills,evidence,epistemic,performance"
85,,",media,children,gaming,family,surveys,families,child,games,home,edu,game,stevens,young,parents,practices"
86,",single feature chosen arbitrarily,opensmile audio feature toolkit,supervised machine learning methods,active person expressed reasoning,students wore headset microphones,study enrolled 28 paid participants,additive logistic regression performed,independent log data features,log based feature sets,dimension classifies prior work,moving task allowed automation,card matching task describing,de los angeles,& de los santos,reliably split groups",",collaboration,log,speech,contribution,audio,accuracy,features,segment,feature,table,projects,low,predicted,segments,group members"
87,",corrected weighted majority vote approach,annotated behaviors revealed interesting differences,resulting transition probability matrix,untrained peer tutors mitigate facethreat,supported collaborative learning community,highly significant main effect,collaborative intelligent tutoring systems,supported collaborative learning systems,soften direct speech acts,interpersonal closeness differently impacts,american university campus,teacher mathematics lessons,small sample size,educational dialogue systems,intelligent tutoring systems",",tutors,rapport,tutoring,interpersonal,instructions,feedback,dyads,self efficacy,efficacy,peer,behaviors,self,tutor,negative,rq"
